Id,SalePrice
1461,112566.42540891611
1462,162457.71520321872
1463,188992.1845439214
1464,199791.40079660344
1465,202503.24690065524
1466,171573.18020979557
1467,181220.18033823624
1468,158514.4963763524
1469,203753.22390586042
1470,114984.87619758441
1471,164188.48876229234
1472,95891.53364107347
1473,92537.71951934983
1474,144617.63946205258
1475,106227.45296713777
1476,375736.2269074151
1477,258031.83009731016
1478,312389.61002418306
1479,307410.3237728998
1480,480339.0188033625
1481,315812.0488906463
1482,201796.66094259117
1483,177307.6597255131
1484,160652.12690995753
1485,176205.02665269628
1486,189306.7756416631
1487,338004.6260895715
1488,222262.21663020304
1489,204375.96346919893
1490,259723.16365858205
1491,200782.46121499137
1492,101461.63342263838
1493,201874.70543829552
1494,313526.5511871051
1495,292068.1955147793
1496,248160.1219054231
1497,176118.53052224367
1498,176828.29326052804
1499,163405.2990320685
1500,150258.12931673814
1501,191512.17296246046
1502,132691.02036498414
1503,360571.1178891483
1504,233727.62942281083
1505,226301.1342780917
1506,191240.1778281035
1507,258374.62856932465
1508,196422.14669216351
1509,151479.30476468985
1510,143187.0585183509
1511,159822.90244583043
1512,182096.5842716267
1513,148589.77209111766
1514,172470.10714515203
1515,213175.0308682909
1516,152483.7264075734
1517,183887.23845663897
1518,121151.27751204916
1519,217399.19833019623
1520,128394.41327498472
1521,136001.9142670215
1522,180492.09796476565
1523,111857.8154329882
1524,123471.10155874086
1525,118584.77024866224
1526,106569.40154592352
1527,103522.91981668814
1528,132757.26142723367
1529,159042.26948742944
1530,207757.00329518467
1531,122857.82051722685
1532,92537.64557718832
1533,161343.83767149903
1534,127335.61519570844
1535,154528.8466966567
1536,92312.28404214917
1537,51004.35672834414
1538,149332.8164656864
1539,205064.5604707641
1540,121258.44523797746
1541,140532.50656111396
1542,163487.11533686714
1543,188922.87675601718
1544,72918.06812067112
1545,117347.37814430127
1546,134339.43002945793
1547,130873.84997279706
1548,149725.77708528747
1549,126142.39683468206
1550,144434.77972586747
1551,107927.59014285708
1552,162240.87307324473
1553,152856.76147685785
1554,122068.07353100207
1555,159565.09284984347
1556,57472.42557450381
1557,140941.3441502582
1558,106640.91046118722
1559,59777.832179896795
1560,124620.08837012367
1561,156727.12725675586
1562,130843.38591002152
1563,128507.23727621077
1564,158878.1196187215
1565,154939.85779424003
1566,225237.53074910896
1567,72375.03988978532
1568,221396.0433320028
1569,131932.467347428
1570,125392.98175390562
1571,85157.8316925882
1572,150051.0132527588
1573,264513.0460255918
1574,136672.95427215644
1575,231003.14330452212
1576,234095.04571672474
1577,176607.19872740065
1578,156353.1425623767
1579,148279.60619513827
1580,189914.80164245886
1581,151543.25207246802
1582,132908.7690151195
1583,283206.5513743473
1584,220140.32048814758
1585,136008.29808625314
1586,83176.27054839852
1587,106807.10826989953
1588,151384.95346508644
1589,106558.48834346395
1590,127421.2264409803
1591,89520.39060210678
1592,129915.12813175822
1593,128230.12174586547
1594,152926.37317894315
1595,119791.95743619496
1596,231136.14819596006
1597,209811.09312455493
1598,211637.3059690167
1599,186000.632412739
1600,165007.53788416626
1601,51895.86513335738
1602,125235.83239811784
1603,45431.33706406379
1604,272739.8941668568
1605,224092.43490515885
1606,154554.2941662006
1607,164420.1632951638
1608,195800.9946963324
1609,187394.27536214815
1610,147055.65465414667
1611,122956.03018186023
1612,184907.11852136572
1613,164576.50540211206
1614,128180.70429091781
1615,95691.65536048825
1616,71837.45564428487
1617,82292.19269338544
1618,133777.57323153687
1619,138654.6359955886
1620,180409.32920634214
1621,129967.68463425795
1622,147002.4744072012
1623,252158.2537892655
1624,203299.17891825832
1625,115987.85940481702
1626,167064.95019876029
1627,192936.78892742426
1628,280550.8644573167
1629,175873.1373311689
1630,369606.0242159052
1631,255703.66552933832
1632,248744.44197824542
1633,169882.4025756887
1634,182317.455314389
1635,168750.46213309272
1636,147484.58102616834
1637,204217.52409317307
1638,174173.97372361392
1639,182759.40749871518
1640,235478.1488314074
1641,183557.74082976158
1642,255033.54100291748
1643,216179.76409384524
1644,238827.6732738363
1645,217391.3804628181
1646,155994.43359780827
1647,155429.70781619658
1648,125155.08834655475
1649,127017.92948462852
1650,115600.575556625
1651,114728.37979365423
1652,95637.79022578048
1653,92099.95752457363
1654,143651.49079424117
1655,124829.13151853925
1656,141728.52875082273
1657,154300.5463090502
1658,145451.13343376535
1659,124006.65757049221
1660,149009.83233482353
1661,428334.3175879973
1662,392738.2285831525
1663,386349.4249696875
1664,519958.48674269184
1665,331817.91180156975
1666,327011.92145099444
1667,378767.6764636029
1668,360003.17493162944
1669,319504.3731806867
1670,365227.87983267754
1671,272242.57882351463
1672,410745.827964918
1673,288259.35889480065
1674,242982.5538703746
1675,202618.8033680982
1676,206526.1075148098
1677,215335.08986837373
1678,474830.34346559015
1679,392726.42620638385
1680,346509.56554936804
1681,281929.9699566073
1682,324849.12996122625
1683,188261.62243130637
1684,164089.39036160128
1685,170741.15304400827
1686,163106.65411193055
1687,159979.02633846583
1688,182657.75546826233
1689,185005.31814681008
1690,187561.3018836704
1691,175067.86352140366
1692,256254.46284654233
1693,163046.8999487776
1694,181000.87864225436
1695,164682.60329421368
1696,261840.65429373048
1697,173492.856889246
1698,340864.6475558792
1699,326747.69215607434
1700,274403.3212055247
1701,280430.3445529174
1702,232614.78536315405
1703,230802.96618603347
1704,269882.43013051513
1705,241602.4033432535
1706,197872.52722853483
1707,233368.5078297188
1708,201117.100290261
1709,247448.33610290717
1710,217149.40412971188
1711,266135.5140976644
1712,256554.231105142
1713,285107.87865893985
1714,229542.00881720442
1715,207681.95724162293
1716,183604.21821203918
1717,168610.70398836295
1718,150053.24354450437
1719,222813.89014539527
1720,254959.48361831796
1721,145491.9901573327
1722,115131.60797114731
1723,148759.67211480046
1724,218316.47449868635
1725,243304.43638499777
1726,183290.969841518
1727,158476.77509050255
1728,150683.57582124995
1729,173689.85016462256
1730,163509.495388658
